intValue: 0, depth: 0, token_str: mem, in_loop: False, in_conditional: False, is_var: True, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: True
intValue: (, depth: 0, token_str: (, in_loop: False, in_conditional: False, is_var: False, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: True
intValue: (, depth: 2, token_str: (, in_loop: False, in_conditional: False, is_var: False, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: False
intValue: 0, depth: 0, token_str: entry, in_loop: False, in_conditional: False, is_var: True, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: True
intValue: (, depth: 0, token_str: (, in_loop: False, in_conditional: False, is_var: False, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: True
intValue: (, depth: 1, token_str: (, in_loop: False, in_conditional: False, is_var: False, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: False
intValue: 0, depth: 0, token_str: array, in_loop: False, in_conditional: False, is_var: True, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: True
intValue: 0, depth: 0, token_str: lexbor_array_obj_get, in_loop: False, in_conditional: False, is_var: False, is_callexpr: True, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: True
intValue: 0, depth: 0, token_str: lexbor_array_obj_length, in_loop: False, in_conditional: False, is_var: False, is_callexpr: True, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: True
intValue: 0, depth: 0, token_str: lexbor_array_obj_size, in_loop: False, in_conditional: False, is_var: False, is_callexpr: True, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: True
intValue: 0, depth: 0, token_str: lexbor_array_obj_struct_size, in_loop: False, in_conditional: False, is_var: False, is_callexpr: True, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: True
intValue: 0, depth: 0, token_str: lexbor_array_obj_last, in_loop: False, in_conditional: False, is_var: False, is_callexpr: True, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: True
intValue: (, depth: 1, token_str: (, in_loop: False, in_conditional: False, is_var: False, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: False
intValue: 0, depth: 0, token_str: array, in_loop: False, in_conditional: False, is_var: True, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: True
intValue: 0, depth: 0, token_str: array, in_loop: False, in_conditional: False, is_var: True, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: True
intValue: 0, depth: 0, token_str: array, in_loop: False, in_conditional: False, is_var: True, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: True
intValue: 0, depth: 0, token_str: dobject, in_loop: False, in_conditional: False, is_var: True, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: True
intValue: 0, depth: 0, token_str: lexbor_array_length, in_loop: False, in_conditional: False, is_var: False, is_callexpr: True, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: True
intValue: 9223372036854775807L, depth: 1, token_str: 9223372036854775807L, in_loop: False, in_conditional: False, is_var: False, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: False
intValue: -, depth: 1, token_str: -, in_loop: False, in_conditional: False, is_var: False, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: False
intValue: (, depth: 0, token_str: (, in_loop: False, in_conditional: False, is_var: False, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: True
intValue: 0, depth: 0, token_str: lexbor_calloc, in_loop: False, in_conditional: False, is_var: False, is_callexpr: True, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: True
intValue: None, depth: 1, token_str: LXB_STATUS_ERROR_OBJECT_IS_NULL, in_loop: False, in_conditional: False, is_var: False, is_callexpr: False, is_enum: True, error_func_called: False, callexprs_in_block: 0, is_last: False
intValue: None, depth: 1, token_str: LXB_STATUS_ERROR_WRONG_ARGS, in_loop: False, in_conditional: False, is_var: False, is_callexpr: False, is_enum: True, error_func_called: False, callexprs_in_block: 0, is_last: False
intValue: 0, depth: 1, token_str: status, in_loop: False, in_conditional: False, is_var: True, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: False
intValue: None, depth: 0, token_str: LXB_STATUS_OK, in_loop: False, in_conditional: False, is_var: False, is_callexpr: False, is_enum: True, error_func_called: False, callexprs_in_block: 0, is_last: True
intValue: (, depth: 1, token_str: (, in_loop: False, in_conditional: False, is_var: False, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: False
intValue: 0, depth: 1, token_str: lexbor_free, in_loop: False, in_conditional: False, is_var: False, is_callexpr: True, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: False
intValue: 0, depth: 0, token_str: bst, in_loop: False, in_conditional: False, is_var: True, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: True
intValue: (, depth: 1, token_str: (, in_loop: False, in_conditional: False, is_var: False, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: False
intValue: 0, depth: 0, token_str: new_entry, in_loop: False, in_conditional: False, is_var: True, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: True
intValue: (, depth: 1, token_str: (, in_loop: False, in_conditional: False, is_var: False, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: False
